08/11/2017 17:06:48
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,itelf.ElPicante*,4092 (28%),2250,350,1289,124,58,22,7,1,2
2nd,sabattini.RobotMimi2*,2758 (19%),1400,50,1211,54,28,15,1,2,4
3rd,sabattini.Agustiin2017*,2173 (15%),900,50,1079,44,100,0,1,2,0
4th,sabattini.BadBuny*,2076 (14%),1100,50,872,34,19,0,1,1,1
5th,ipdf.SmasherDown*,2001 (14%),1200,0,768,24,8,0,0,4,2
6th,sabattini.TheBot*,1504 (10%),650,0,812,2,40,0,0,0,1
$
