08/11/2017 17:11:27
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,ipdf.Grone*,3010 (21%),1600,50,1266,55,38,0,1,3,3
2nd,itelf.Raj31*,2944 (20%),1400,150,1227,78,89,0,3,0,2
3rd,ipdf.leisi*,2718 (19%),1550,50,1032,41,44,0,1,5,1
4th,ipdf.R2D2*,2245 (15%),1300,200,677,41,26,0,4,1,0
5th,itelf.Inheriav*,2074 (14%),850,0,1156,60,8,0,0,1,3
6th,itelf.Wolf*,1680 (11%),750,50,806,64,10,0,1,1,0
$
