08/11/2017 17:39:35
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,sabattini.Giane*,3387 (24%),1750,250,1245,93,35,15,5,1,2
2nd,ipdf.Grone*,3246 (23%),1750,150,1213,103,30,0,3,3,1
3rd,itelf.KpoMasterGuild*,2568 (18%),1450,50,960,70,38,0,1,3,2
4th,sabattini.Mercury*,2055 (14%),1050,50,872,57,26,0,1,1,2
5th,sabattini.RoboRot*,1668 (12%),750,0,847,29,41,0,0,0,3
6th,itelf.Raj31*,1480 (10%),750,0,656,32,41,0,0,2,0
$
