09/11/2017 07:36:03
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,sabattini.RobotMimi2*,2147 (28%),750,120,1123,132,22,0,4,0,3
2nd,sabattini.RoboRot*,2026 (27%),900,60,925,89,52,0,2,5,2
3rd,sabattini.Mercury*,1690 (22%),650,90,869,56,25,0,3,1,2
4th,itelf.Raj31*,1673 (22%),700,30,870,1,61,11,1,4,3
$
