08/11/2017 17:16:55
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,sabattini.RoboRot*,2966 (20%),1600,100,1126,71,68,0,2,2,3
2nd,sabattini.Giane*,2902 (20%),1450,100,1208,102,42,0,2,4,0
3rd,ipdf.MiRobot*,2802 (19%),1600,200,890,53,59,0,4,1,2
4th,ipdf.Stone*,2258 (15%),1100,50,1046,38,24,0,1,2,1
5th,sabattini.Robot_Santi*,2078 (14%),1050,50,920,36,22,0,1,0,3
6th,ipdf.MiGranDemonio*,1621 (11%),700,0,850,36,35,0,0,1,1
$
