08/11/2017 17:20:44
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,sabattini.Mercury*,3661 (25%),2150,250,1135,97,29,0,5,3,2
2nd,itelf.KpoMasterGuild*,3001 (21%),1250,50,1435,78,155,33,1,0,3
3rd,ipdf.rodriguito*,2167 (15%),1300,0,811,8,48,0,0,2,4
4th,sabattini.RobotOne*,2068 (14%),1000,50,952,24,42,0,1,2,1
5th,ipdf.CandyRobot*,2065 (14%),1000,100,857,89,19,0,2,1,0
6th,ipdf.MiSuperTheo*,1580 (11%),800,50,663,34,34,0,1,2,0
$
