08/11/2017 17:28:41
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,itelf.ElPicante*,2235 (32%),1100,150,906,45,35,0,5,3,1
2nd,sabattini.Giane*,1950 (28%),900,120,810,90,30,0,4,3,0
3rd,itelf.KpoMasterGuild*,1414 (20%),450,0,795,83,86,0,0,2,5
4th,ipdf.Grone*,1401 (20%),550,30,744,50,28,0,1,2,4
$
